Ancient Greek Prose Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
eusebius_caeserea.historia_ecclesiastica.part.5.tess,history,0.00279314,0.02775192,0.00093105,0.00114418,0.05041112,0.0179591,0.00203035,0.00205033,0.07868852,0.00408314,0.00739228,0.00136853,0.00226592,0.00434114,0.00093105,0.00655738,0.00262488,0.00127879,56.0702703,292.285246,0.390681,1.9704918,0.61648746,46894.2563
eusebius_caeserea.historia_ecclesiastica.part.6.tess,history,0.00304086,0.02624686,0.00084345,0.00075467,0.04293832,0.01594788,0.00194216,0.0019892,0.03264095,0.00466118,0.00663663,0.00035514,0.00360686,0.00614831,0.00109871,0,0.00306306,0.00039953,54.6915423,267.376855,0.35294118,2.09792285,0.60681115,43603.7007
eusebius_caeserea.historia_ecclesiastica.part.7.tess,history,0.00320946,0.02161288,0.00095519,0.00064953,0.05501923,0.0220459,0.00241983,0.00245028,0.05054152,0.0057057,0.01040526,0.00104435,0.00531088,0.00624061,0.00108255,0,0.00301842,0.00030566,51.0780142,283.458484,0.35249042,2.09386282,0.51340996,83842.7537
eusebius_caeserea.historia_ecclesiastica.part.8.tess,history,0.00431107,0.021481,0.00148657,0.00042739,0.04734739,0.01265446,0.00213695,0.00218564,0.07594937,0.00572331,0.00704265,0.00081762,0.00568615,0.01341633,0.00152374,0,0.00250859,0.00055747,69.9759036,340.601266,0.34246575,2.83544304,0.53424658,73797.8727
eusebius_caeserea.historia_ecclesiastica.part.9.tess,history,0.00155492,0.03255902,0.0007539,0.00115441,0.04167648,0.01564341,0.00230882,0.00231744,0.00892857,0.0022617,0.00808086,0.00219102,0.00249729,0.01404137,0.00141356,0,0.00219102,0.00056542,71.21875,378.982143,0.41441441,2.27678571,0.57657658,58978.589
flavius_josephus.antiquitates_judaicae.part.1.tess,history,0.00348604,0.03762753,0.00040375,0.00104384,0.0504589,0.01934061,0.00135896,0.00135896,0,0.00638122,0.00400796,0.00073857,0.00123094,0.00307244,0.00134912,0.0045045,0.00138851,0.00011817,52.597561,228.711712,0.3018018,2.42792793,0.36936937,18545.7773
flavius_josephus.antiquitates_judaicae.part.10.tess,history,0.00289668,0.04334243,0.00037106,0.00106531,0.05127837,0.01751173,0.00165182,0.00164583,0.0119403,0.00560184,0.00215455,0.00100546,0.00089773,0.00331562,0.00082591,0,0.00251365,0.00057455,61.3972603,249.385075,0.33534743,2.25074627,0.44108761,19880.5234
flavius_josephus.antiquitates_judaicae.part.11.tess,history,0.00227567,0.03687432,0.00023178,0.00103248,0.05328866,0.01867948,0.00121158,0.00118644,0.00729927,0.00476206,0.00502544,0.00181211,0.00107462,0.00215978,0.00147497,0.00973236,0.00189639,0.00037928,59.6834532,230.941606,0.27295285,1.83941606,0.33995037,18364.1766
flavius_josephus.antiquitates_judaicae.part.12.tess,history,0.00184205,0.0396854,0.00040268,0.00105382,0.05066057,0.01513905,0.00149934,0.001512,0.00384615,0.00462654,0.00394112,0.00133655,0.00043695,0.00249319,0.00108809,0.01538462,0.00239038,0.00056547,58.835443,224.457692,0.26305609,1.825,0.30367505,17323.279
flavius_josephus.antiquitates_judaicae.part.13.tess,history,0.00281376,0.04192173,0.00060295,0.00098817,0.04934974,0.01643875,0.00122265,0.0012247,0.00174216,0.00576152,0.00401966,0.00142363,0.00072856,0.00225269,0.0012394,0.00174216,0.00243692,0.00050246,57.5574713,208.036585,0.25874126,1.91463415,0.3041958,17330.1014
flavius_josephus.antiquitates_judaicae.part.14.tess,history,0.00311593,0.03202444,0.00042107,0.00076559,0.05164639,0.01456909,0.00124025,0.00124409,0.00329489,0.00606344,0.00499927,0.00150055,0.00038279,0.00282501,0.00144696,0.00164745,0.00206708,0.00041342,57.2215909,215.187809,0.24297521,2.08072488,0.29090909,21832.7456
flavius_josephus.antiquitates_judaicae.part.15.tess,history,0.00233142,0.02822617,0.00080977,0.00206446,0.04949367,0.02050223,0.00177081,0.00175924,0.01844262,0.00893413,0.00232252,0.00034704,0.00072078,0.00557938,0.00137037,0,0.00296321,0.00037374,55.8040541,230.282787,0.25887265,2.38114754,0.30688935,16755.0143
flavius_josephus.antiquitates_judaicae.part.16.tess,history,0.00342408,0.0271065,0.00055259,0.00234851,0.05135138,0.02097868,0.00283202,0.00280604,0.06779661,0.00892038,0.00401614,0.00026643,0.00101637,0.0032366,0.00179592,0.01059322,0.00352276,0.00029603,61.9325843,214.705508,0.30663616,2.23516949,0.38215103,18673.6569
flavius_josephus.antiquitates_judaicae.part.17.tess,history,0.00099955,0.03877663,0.00084276,0.00106815,0.05156498,0.01283735,0.00109754,0.00111073,0.01176471,0.00631088,0.00164632,0.00043118,0.00080356,0.0040276,0.00157772,0.00705882,0.00226369,0.00099955,56.6570048,240.108235,0.36428571,2.62588235,0.48809524,27195.4612
flavius_josephus.antiquitates_judaicae.part.18.tess,history,0.00190244,0.03428086,0.00071111,0.0010251,0.04686836,0.01441606,0.00122827,0.00123716,0,0.00579967,0.00352783,0.00027705,0.00115439,0.00246578,0.00230879,0.01455301,0.00199479,0.00105281,57.2484076,225.118503,0.2651357,2.44074844,0.32776618,20459.7386
flavius_josephus.antiquitates_judaicae.part.19.tess,history,0.00147409,0.02985829,0.00044115,0.00110825,0.05034485,0.01227687,0.0018184,0.00171473,0.00793651,0.0058533,0.00324944,0.00061331,0.00151712,0.00335704,0.00202283,0.02380952,0.00196903,0.00109749,54.8943662,245.87037,0.2826087,2.67724868,0.37771739,35544.7742
flavius_josephus.antiquitates_judaicae.part.2.tess,history,0.0021053,0.03906181,0.00075119,0.00121574,0.04837259,0.01882913,0.00104771,0.00105094,0,0.00577229,0.00547577,0.00065235,0.00120586,0.00237217,0.00083026,0.0156658,0.00302452,0.00047443,62.112426,264.159269,0.31413613,2.48563969,0.44240838,28337.9929
flavius_josephus.antiquitates_judaicae.part.20.tess,history,0.00065868,0.029947,0.00085782,0.00055145,0.04295212,0.01991361,0.00163904,0.0016405,0.00619195,0.00631108,0.00332404,0,0.00238963,0.00349254,0.00070464,0.00928793,0.00211391,0.00018382,62.1692308,202.111455,0.17445483,1.9628483,0.20249221,13182.9907
flavius_josephus.antiquitates_judaicae.part.3.tess,history,0.00297848,0.02730453,0.00041157,0.00080148,0.05346099,0.01621376,0.00127804,0.00127804,0,0.0070617,0.00371498,0.00066068,0.00097477,0.00293516,0.0012997,0.0026455,0.00165712,0.00071483,56.0295858,244.256614,0.30952381,2.74867725,0.44708995,25696.0215
flavius_josephus.antiquitates_judaicae.part.4.tess,history,0.00316625,0.03445011,0.00085205,0.00189344,0.04827223,0.01763004,0.00208279,0.0020726,0.00522193,0.00496502,0.00870983,0.00089413,0.00240888,0.00259822,0.00161994,0.0156658,0.0025877,0.00050492,60.0961538,248.211488,0.37795276,2.50130548,0.54330709,27892.5636
flavius_josephus.antiquitates_judaicae.part.5.tess,history,0.00149782,0.03896323,0.00041661,0.0006646,0.04793033,0.01504766,0.00146806,0.00147324,0.00411523,0.00476129,0.00353129,0.00100185,0.00113081,0.00126968,0.00172597,0,0.00223186,0.00071419,60.1307692,207.434156,0.21532091,1.99794239,0.26915114,14667.4185
flavius_josephus.antiquitates_judaicae.part.6.tess,history,0.00295225,0.03859006,0.00064073,0.00091649,0.05526538,0.01715384,0.00136257,0.00136982,0.01782178,0.00558007,0.00731573,0.00081106,0.00169511,0.00197898,0.00195465,0.00792079,0.00272515,0.00034064,60.136646,244.150495,0.24593496,2.27524752,0.31910569,26896.714
flavius_josephus.antiquitates_judaicae.part.7.tess,history,0.00337251,0.04226201,0.00010172,0.00074336,0.05295075,0.01751201,0.00122068,0.00123837,0.00915751,0.005227,0.00345076,0.00112678,0.00108765,0.0036855,0.00115025,0.01648352,0.00328644,0.00042254,54.0185185,234.062271,0.2393321,2.17032967,0.2987013,20923.1793
flavius_josephus.antiquitates_judaicae.part.8.tess,history,0.00323014,0.03724244,0.00031711,0.00058998,0.05331937,0.01921857,0.00138645,0.00140023,0.01204819,0.00598829,0.0034145,0.00142332,0.00059735,0.0027729,0.00077435,0.01032702,0.00232304,0.00061948,63.3425926,233.387263,0.29668412,2.15318417,0.37172775,22603.4903
flavius_josephus.antiquitates_judaicae.part.9.tess,history,0.00156552,0.03884733,0.00070449,0.0008834,0.05054402,0.01770159,0.00147606,0.00149208,0.00464037,0.00626209,0.00150961,0.00091695,0.00073803,0.00225883,0.00131951,0.00232019,0.00244892,0.00060384,65.8333333,207.487239,0.24766355,1.94431555,0.29205607,16271.7116
flavius_josephus.contra_apionem.part.1.tess,miscellaneous,0.0046066,0.02535471,0.00067563,0.00119157,0.04961612,0.02214852,0.00200233,0.00202587,0.07960199,0.00643695,0.00689147,0.00066335,0.00214975,0.00717401,0.00119157,0,0.00121614,0.00029482,54.1585366,202.5,0.19241192,1.89781022,0.21409214,15755.5435
flavius_josephus.contra_apionem.part.2.tess,miscellaneous,0.00581725,0.01850452,0.00025644,0.00209205,0.04051829,0.01464435,0.00267243,0.00273049,0.13583815,0.00626265,0.00877311,0.00086381,0.00245647,0.00754488,0.0009178,0.00289017,0.00198407,0.00040491,57.4736842,214.132948,0.15719064,1.64739884,0.18394649,18695.832
flavius_josephus.de_bello_judaico_libri_vii.part.1.tess,history,0.0022257,0.02101568,0.00109588,0.00102314,0.04776775,0.01067755,0.00144016,0.00144738,0.02135922,0.00851489,0.00275425,0.00064977,0.00356888,0.00662862,0.00199295,0.00291262,0.0027494,0.00072735,54.7837838,200.220388,0.24826216,2.32718447,0.28798411,15490.131
flavius_josephus.de_bello_judaico_libri_vii.part.2.tess,history,0.00193165,0.01952684,0.00160652,0.00147902,0.04743053,0.01020011,0.0022249,0.00223959,0.03703704,0.0090016,0.00185515,0.00065663,0.00360829,0.00531043,0.00182965,0.00396825,0.00179777,0.00076501,58.9852217,207.488095,0.24104683,2.36640212,0.27548209,12721.2842
flavius_josephus.de_bello_judaico_libri_vii.part.3.tess,history,0.00156197,0.01933966,0.00093513,0.00166473,0.05048657,0.00886829,0.00178804,0.00177768,0.04103672,0.01031722,0.00231213,0.00020552,0.00317532,0.00396658,0.00209633,0.00215983,0.00320615,0.00024663,55.4915254,210.179266,0.22972973,2.67170626,0.25900901,15214.3458
flavius_josephus.de_bello_judaico_libri_vii.part.4.tess,history,0.0017831,0.01919506,0.00175023,0.00129008,0.05074857,0.00798698,0.00176667,0.00166769,0.04861111,0.00897303,0.00263768,0.00053411,0.00212,0.00649148,0.00179132,0.00347222,0.00219396,0.00049302,54.1666667,211.28125,0.21350365,2.49131944,0.26277372,14914.0077
flavius_josephus.de_bello_judaico_libri_vii.part.5.tess,history,0.00192579,0.01478219,0.00134627,0.00142651,0.04832296,0.0114299,0.00180097,0.00176882,0.07272727,0.00959327,0.00180988,0.00029422,0.00099856,0.00325422,0.00123036,0.00363636,0.00251422,0.00032096,47.9027778,203.930909,0.24117647,2.45454545,0.27058824,12460.4243
flavius_josephus.de_bello_judaico_libri_vii.part.6.tess,history,0.00262668,0.0146497,0.00194613,0.00112231,0.05196046,0.0085964,0.00284159,0.00289349,0.0825,0.00993362,0.00416687,0.000394,0.00269831,0.00272219,0.00170734,0.0125,0.00193419,0.00021491,55.4363636,209.39,0.23497268,2.55,0.27595628,14011.0829
flavius_josephus.de_bello_judaico_libri_vii.part.7.tess,history,0.00366471,0.02622302,0.00077948,0.00080275,0.04214996,0.01518236,0.00204758,0.00209639,0.04569892,0.00739922,0.00285033,0.00107033,0.00153569,0.005817,0.00159386,0,0.0017451,6.98E-05,59.7804878,231.061828,0.2,2.19354839,0.22253521,15406.644
flavius_josephus.josephi_vita.tess,history,0.00130477,0.03036316,0.00072487,0.0013229,0.03749411,0.01608314,0.00160378,0.00157493,0.01025641,0.00492914,0.01536733,0.00047117,0.00357907,0.00413178,0.001785,0.01196581,0.00250082,0.00021746,47.9318182,188.65641,0.1366782,1.83589744,0.15051903,11652.4341
galen.natural_faculties.part.1.tess,technical treatise,0.00485556,0.01757251,0.0006503,0.00346826,0.05127242,0.01687886,0.00433532,0.00449886,0.10666667,0.01063599,0.00394514,0.00182084,0.00173413,0.00241333,0.00255784,0.00266667,0.0026879,0.00095377,56.1818182,184.530667,0.15820896,2.24,0.18208955,13512.5104
galen.natural_faculties.part.2.tess,technical treatise,0.00510756,0.01814686,0.00012018,0.00318471,0.05116573,0.01747086,0.00319974,0.00338761,0.16620499,0.00907343,0.00322978,0.00112667,0.00440151,0.00443156,0.00126187,0.01108033,0.00288427,0.00036053,56.6724138,184.398892,0.1627907,2.12188366,0.17940199,15235.8464
galen.natural_faculties.part.3.tess,technical treatise,0.00361031,0.02076992,0.00031148,0.00240688,0.04948252,0.01437046,0.00417664,0.0041945,0.04166667,0.0113831,0.0026334,0.00056632,0.00355368,0.00545086,0.00430406,0,0.00284578,0.00059464,43.5714286,226.38141,0.15719064,2.94230769,0.18394649,17282.8577
herodotus.histories.part.1.tess,history,0.00511237,0.01284874,0.00106421,0.00131461,0.05138973,0.02584876,0.00149198,0.00144958,0.01065719,0.00824239,0.0053106,0.0004695,0,0.00453853,0.00129896,0.03374778,0.00341172,0.0006886,47.3676471,170.241563,0.16348774,2.36856128,0.18346957,11426.574
herodotus.histories.part.2.tess,history,0.00652142,0.01540754,0.00150257,0.00118235,0.05309506,0.02735424,0.00161342,0.00161784,0.00970874,0.008375,0.00324531,0.0003079,0,0.00482178,0.00080671,0.00485437,0.00288199,0.00059118,45.5714286,197.072816,0.15092025,2.61305925,0.19754601,13775.0505
herodotus.histories.part.3.tess,history,0.00485192,0.01444192,0.00125922,0.00137305,0.04792157,0.02819376,0.00211293,0.00205288,0.01948843,0.00802487,0.00598308,0.00078257,0,0.00371364,0.00110271,0.04141291,0.00311604,0.00055491,49.0402299,171.209501,0.17964824,2.31912302,0.21231156,9559.43723
herodotus.histories.part.4.tess,history,0.00483987,0.01290405,0.00175749,0.00076383,0.0532588,0.03067501,0.00135868,0.00135201,0.00768386,0.00808447,0.00456272,0.00037178,0,0.00452892,0.0013722,0.00658617,0.00210899,0.00048669,48.4012346,162.390779,0.15836102,2.21600877,0.17940199,11197.6431
herodotus.histories.part.5.tess,history,0.00400989,0.01315123,0.00127046,0.00098262,0.04985558,0.02672926,0.00108188,0.00103511,0.01454545,0.00837709,0.00538952,0.00064515,0,0.002263,0.00166748,0.02727273,0.00297764,0.00065508,52.7294118,183.183636,0.14259259,2.43272727,0.15740741,12316.5208
herodotus.histories.part.6.tess,history,0.00387032,0.01386313,0.00107877,0.00072864,0.04784435,0.02632575,0.00160869,0.00161413,0.00675676,0.00863015,0.00287672,0.00023657,0,0.00221432,0.0012491,0.01689189,0.00343503,0.00062455,49.6976744,178.506757,0.13095238,2.38682432,0.1462585,11762.9864
herodotus.histories.part.7.tess,history,0.00418702,0.00999086,0.0010816,0.00147744,0.05281439,0.02574653,0.00111505,0.00113727,0.02277228,0.00856359,0.00640039,0.00072478,0,0.00432082,0.00191231,0.03960396,0.00359604,0.00060213,49.4717949,177.588119,0.16040609,2.45103858,0.19593909,12461.066
herodotus.histories.part.8.tess,history,0.00499746,0.01234336,0.00127755,0.00144663,0.0482274,0.02494974,0.00186935,0.00188324,0.00650407,0.00800346,0.00591805,0.00051666,0,0.00152178,0.0023954,0.01463415,0.00484716,0.00129633,50.7826087,173.095935,0.16256158,2.27317073,0.18883415,10336.464
herodotus.histories.part.9.tess,history,0.00482225,0.01088993,0.00068747,0.0010063,0.05376216,0.02817631,0.0013849,0.00140277,0.00728597,0.00733301,0.00598796,0.00054798,0,0.00268014,0.00308863,0.02550091,0.00463295,0.0011956,53.5934959,182.819672,0.18853974,2.50091075,0.22735675,11886.2607
hippocrates.de_aere_aquis_et_locis.tess,technical treatise,0.00187727,0.00930291,0.00271161,0.00089692,0.08710525,0.01449668,0.00123065,0.00123604,0.00326797,0.00909432,0.00091778,0.00010429,0.00027116,0.02019106,0.00179383,0,0.00087606,0.00300363,45.2682927,156.673203,0.12131148,2.27124183,0.13442623,13277.9063
hippocrates.de_alimento.tess,technical treatise,0.00798094,0.00631328,0,0.00047647,0.09136391,0.01655747,0.0019059,0.0019059,0,0.00714711,0.00095295,0,0,0,0.00262061,0,0,0,23.125,119.928571,0.08571429,1.12857143,0.11428571,7631.58061
hippocrates.de_morbis_popularibus.tess,technical treatise,0.00339005,0.00347892,0.00073641,0.00048248,0.05162519,0.01184611,0.00091417,0.00091417,0,0.00548502,0.00026663,0,0,0.00272981,0.00116811,0,0.00057136,0.00030472,28.671875,97.354759,0.06798517,0.89616811,0.07911001,6851.17823
hippocrates.de_prisca_medicina.tess,technical treatise,0.00873202,0.01520332,0.00028259,0.00223246,0.08822449,0.02656343,0.00454969,0.00456063,0.08173077,0.00655608,0.00245853,0.00050866,0,0.00556702,0.00584961,0,0.00135643,0.00067822,43.390625,170.129808,0.2460733,2.59615385,0.31937173,14690.9976
hippocrates.jusjurandum.tess,technical treatise,0.00822562,0.00411281,0,0,0.11515864,0.02643948,0,0,0,0.00470035,0.00587544,0,0,0,0,0,0,0,36.5,212.75,0.125,3.5,0.25,36282.9375
hyperides.against_athenogenes.tess,oratory,0.00511757,0.01787912,0.00084213,0.00453456,0.04508648,0.02183067,0.00336853,0.0032571,0.0875,0.00932824,0.03089979,0.00168427,0.00155471,0.00278552,0.0022025,0.1625,0.00446978,0.00194338,53.8529412,192.9625,0.2739726,2.17721519,0.42465753,13585.7861
hyperides.against_demosthenes.tess,oratory,0.00454673,0.01881645,0,0.00314773,0.0476357,0.02021544,0.00153889,0.00137463,0.20634921,0.00559597,0.019446,0.00195859,0.00111919,0.00545607,0.00328763,0.20634921,0.0008394,0.0008394,51.0714286,226.920635,0.22,1.69230769,0.24,39466.454
hyperides.against_philippides.tess,oratory,0.00243625,0.01526718,0.00129933,0.00259867,0.05148611,0.02631152,0.00227383,0.00261194,0.18604651,0.00649667,0.02111418,0.00162417,0.00227383,0,0.00178658,0.06976744,0.001949,0.0009745,50.4444444,143.186047,0.2,1.29545455,0.2,7549.96539
hyperides.funeral_oration.tess,oratory,0.00960384,0.01348775,0.00098863,0.0016948,0.04258174,0.02182049,0.0004237,0.00050331,0.28571429,0.00960384,0.00381329,0.00035308,0.00261281,0.00508439,0.0004237,0,0.00105925,0.00254219,56.4347826,183.909091,0.29090909,1.77631579,0.34545455,14735.1736
hyperides.in_defense_of_euxenippus.tess,oratory,0.00800229,0.02383538,0.00114318,0.00565876,0.050986,0.02229208,0.00457274,0.00509293,0.20930233,0.00640183,0.01354673,0.00097171,0.00377251,0.00474421,0.00291512,0.12790698,0.00240069,0.00068591,42.5588235,203.430233,0.35294118,1.86046512,0.45588235,24134.5475
hyperides.in_defense_of_lycophron.tess,oratory,0.00126001,0.01881019,0.00360004,0.00189002,0.04095041,0.0299703,0.00153002,0.0016786,0.23214286,0.00900009,0.0204302,0.00306003,0.00432004,0.00261003,0.00243002,0.17857143,0.00216002,0.00216002,47.3548387,198.410714,0.42857143,2,0.5952381,17119.8849
isaeus.speeches.part.1.tess,oratory,0.00466003,0.02340606,0.0021182,0.00418344,0.04691803,0.04580597,0.00238297,0.00262852,0.14942529,0.01037916,0.03653887,0.00148274,0.00466003,0.01053802,0.00439526,0.1954023,0.00365389,0.00222411,48.8461538,217.057471,0.32432432,2.12643678,0.44594595,16404.1461
isaeus.speeches.part.10.tess,oratory,0.0029375,0.02790629,0.00102813,0.00455313,0.04274069,0.05045164,0.00154219,0.0014068,0.05714286,0.00940001,0.01329221,0.00154219,0.01050158,0.0029375,0.00139531,0.31428571,0.00286407,0.00572813,41.0526316,194.528571,0.24242424,2.18571429,0.27272727,9821.36347
isaeus.speeches.part.11.tess,oratory,0.00317593,0.01688257,0,0.00551609,0.04045132,0.03915587,0.00250731,0.00204121,0.13178295,0.00702048,0.02870873,0.0010865,0.00066862,0.00426243,0.0025491,0.04651163,0.00213122,0.00175512,43.8113208,185.503876,0.3125,1.93023256,0.40178571,15913.3042
isaeus.speeches.part.12.tess,oratory,0.00435256,0.01803202,0.00124359,0.00419711,0.04492461,0.04368102,0.00388621,0.00386033,0.09677419,0.0099487,0.03279963,0.00186538,0.00839422,0.00170993,0.00295352,0.4516129,0.00466345,0.00559614,42.1111111,207.516129,0.25,2.29032258,0.28571429,10457.5401
isaeus.speeches.part.2.tess,oratory,0.00422705,0.03162055,0.00043917,0.00422705,0.05434783,0.04929732,0.00268994,0.00278552,0.08602151,0.00527009,0.03162055,0.00230567,0.00806983,0.00060386,0.00422705,0.12903226,0.00411726,0.00263505,38.5142857,195.870968,0.30588235,1.90322581,0.4,16700.0264
isaeus.speeches.part.3.tess,oratory,0.0032516,0.02415475,0.00079631,0.00686818,0.03440725,0.03736023,0.00351704,0.00336442,0.23602484,0.00610505,0.01184512,0.00102857,0.00929029,0.00491058,0.00298616,0.04347826,0.0035834,0.00139354,46.35,187.198758,0.20661157,1.85,0.25619835,18811.8487
isaeus.speeches.part.4.tess,oratory,0.00408063,0.02040317,0.00375418,0.00685546,0.04872276,0.03011507,0.00326451,0.00286307,0.203125,0.01240513,0.01444544,0,0.00440708,0.00293806,0.00432547,0.171875,0.0051416,0.00097935,31.4210526,191.453125,0.25490196,2.609375,0.31372549,14674.9978
isaeus.speeches.part.5.tess,oratory,0.00130475,0.02190121,0,0.0027027,0.04520037,0.02656104,0.00102516,0.00094953,0.09016393,0.01006524,0.02847158,0.00051258,0.00181733,0.00205033,0.00531221,0.18032787,0.0026561,0.00055918,35.64,175.901639,0.45045045,1.79508197,0.63063063,12147.9903
isaeus.speeches.part.6.tess,oratory,0.0022683,0.02351864,0.0007561,0.00493454,0.05316567,0.03597437,0.00198973,0.00175762,0.09230769,0.00923236,0.01273429,0.00159179,0.0037407,0.00326316,0.00409885,0.14615385,0.00513351,0.00191014,38.6956522,193.3,0.2991453,1.93076923,0.36752137,15589.8562
isaeus.speeches.part.7.tess,oratory,0.00183515,0.0274224,0.00062919,0.00325084,0.05285235,0.04315227,0.00157299,0.00156268,0.11926606,0.00817953,0.01698826,0.00173029,0.00471896,0.00131082,0.00235948,0.0733945,0.00408977,0.00062919,35.7272727,174.972477,0.23958333,1.82568807,0.30208333,10546.8158
isaeus.speeches.part.8.tess,oratory,0.00185744,0.0171349,0.00023218,0.00403993,0.04792199,0.05349431,0.00255398,0.00204356,0.152,0.00761551,0.02354307,0.00269329,0.00199675,0.00325052,0.00529371,0.072,0.00250755,0.00055723,37.3589744,172.28,0.27619048,1.87096774,0.36190476,16334.7136
isaeus.speeches.part.9.tess,oratory,0.00719378,0.01959021,0.00539534,0.00346843,0.04239193,0.04528229,0.00256921,0.00244464,0.07407407,0.0061661,0.0240221,0.00173422,0.01014837,0.00218383,0.008928,0.22222222,0.0040465,0.00192691,33.04,192.209877,0.25675676,1.82716049,0.31081081,15281.7955
isocrates.letters.part.1.tess,letters,0,0.0135664,0,0.00626141,0.03339421,0.0203496,0.00756588,0.0086483,0.13333333,0.0166971,0.02191495,0.00130446,0,0,0.00965301,0,0.00391338,0,55,255.533333,0.30769231,5.07142857,0.30769231,24357.8489
isocrates.letters.part.2.tess,letters,0.00400779,0.01488606,0.00080156,0.00309172,0.05095614,0.01225238,0.00080156,0.00081718,0.02941176,0.00778656,0.01797779,0.00114508,0.00377877,0.00641246,0.00160311,0,0.00103057,0.00068705,51.4615385,256.852941,0.51515152,3.20588235,0.75757576,38463.0078
isocrates.letters.part.3.tess,letters,0.00992647,0.01323529,0,0.00110294,0.04411765,0.03088235,0.00147059,0.00147059,0,0.01470588,0.03345588,0,0.00330882,0,0.00404412,0,0.00551471,0,44.1666667,226.666667,0.41666667,3.25,0.5,6890.72222
isocrates.letters.part.4.tess,letters,0.01010466,0.03103573,0.00505233,0.00306748,0.05160592,0.01840491,0.00252616,0.00252616,0,0.01154818,0.02399856,0.00108264,0.00162396,0.01966799,0.00487189,0,0.0027066,0,49.4444444,326,0.41176471,4,1.05882353,47608.1176
isocrates.letters.part.5.tess,letters,0.0161987,0.00809935,0,0.00161987,0.05345572,0.02483801,0.00107991,0.00107991,0,0.00431965,0.01079914,0,0,0,0,0,0.00485961,0,49,370.4,0.6,5,1.4,38708.24
isocrates.letters.part.6.tess,letters,0.00722932,0.0169805,0,0.00453934,0.04791527,0.02589106,0.00117687,0.00117687,0,0.01075992,0.02303295,0.00302623,0.01109617,0.00252186,0.00151311,0,0.00201748,0.00100874,28,212.428571,0.25,2.85714286,0.32142857,14906.6735
isocrates.letters.part.7.tess,letters,0.00789676,0.02099384,0,0.00288906,0.05450693,0.02080123,0.00288906,0.00288906,0,0.01232666,0.02465331,0.00115562,0,0.01348228,0.00154083,0,0.0046225,0.00346687,74,247.238095,0.33333333,3.0952381,0.38095238,35403.7052
isocrates.letters.part.8.tess,letters,0.01017249,0.02012384,0,0.00265369,0.0495356,0.01459531,0.00707651,0.00707651,0,0.00884564,0.02786378,0.00132685,0.00287483,0.00906678,0.00176913,0,0.00132685,0,38.4,215.333333,0.42857143,2.9047619,0.47619048,13496.7937
isocrates.letters.part.9.tess,letters,0.01147666,0.01020148,0.00165774,0.00191278,0.05330273,0.01224178,0.00216781,0.00202664,0.16,0.01122163,0.01619485,0.00076511,0.00229533,0.01058403,0.00165774,0.04,0.00114767,0.00076511,60.2727273,313.68,0.38095238,3.95833333,0.85714286,63577.0976
isocrates.speeches.part.1.tess,oratory,0.00685107,0.00674881,0,0.00434583,0.04417404,0.01487806,0.00138044,0.00139954,0.00826446,0.01615625,0.00649317,0.00199397,0.00705558,0.00270975,0.00117593,0.00826446,0.00153382,0.00061353,41.9259259,161.644628,0.2,2.28099174,0.225,7846.65883
isocrates.speeches.part.10.tess,oratory,0.0099197,0.02373642,0.00094473,0.00118092,0.04845694,0.02448433,0.00409384,0.0039323,0.09782609,0.01212407,0.00291293,0.00082664,0.00208629,0.00397575,0.00114155,0,0.00177137,0.00259802,48.4893617,276.130435,0.36144578,3.2173913,0.53012048,35572.1569
isocrates.speeches.part.11.tess,oratory,0.01022255,0.0219359,0.00069215,0.00372697,0.04717283,0.0247045,0.00346076,0.00329276,0.15789474,0.01320413,0.00819934,0.00154403,0.00191673,0.00995634,0.00106485,0.01315789,0.00223618,0.00223618,50.7567568,247.131579,0.328125,3.09210526,0.5,26050.2458
isocrates.speeches.part.12.tess,oratory,0.0088742,0.020533,0.00091298,0.00170728,0.04989455,0.02174727,0.00204508,0.00199537,0.08609272,0.01077321,0.01007021,0.00086733,0.00352412,0.00598917,0.0025107,0.00331126,0.00243767,0.00136948,48.5109489,362.68543,0.54014599,4.04635762,0.94890511,83843.3282
isocrates.speeches.part.13.tess,oratory,0.01270457,0.01970284,0.00129199,0.00172265,0.04435831,0.02411714,0.00204565,0.0019316,0.06896552,0.01248923,0.00430663,0.00053833,0.00236865,0.0047373,0.00387597,0,0.00226098,0.00452196,45.1052632,320.275862,0.44444444,3.89655172,0.66666667,38097.5101
isocrates.speeches.part.14.tess,oratory,0.00615289,0.01659953,0.00088531,0.00270019,0.0412111,0.02620513,0.00137223,0.00128931,0.23595506,0.01097782,0.02607233,0.00185915,0.00172635,0.00814484,0.00309858,0.02247191,0.00305431,0.00159355,49.6888889,253.831461,0.39705882,2.73033708,0.52941176,16847.6907
